10106;Joel;Bolomboy;21;PF;6'9'';235;1994-01-28;Kiev;Ukraine;90;MIL;Milwaukee;Bucks;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627762.png
15203;Mohamed;Bomba;5;C;"7'0"";225;1998-05-11;Harlem, NY;USA;95;ORL;Orlando;Magic;
15354;Isaac;Bonga;17;SF;"6'8"";180;1999-11-08;Neuwied;Germany;105;LAL;Los Angeles;Lakers;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629067.png
9434;Devin;Booker;1;SG;"6'6"";210;1996-10-30;Grand Rapids, MI;USA;104;PHX;Phoenix;Suns;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png
9508;Trevor;Booker;35;PF;"6'8"";228;1987-11-24;Newberry, SC;USA;87;IND;Indiana;Pacers;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202344.png
13766;Chris;Boucher;25;PF;"6'10"";200;1993-01-09;Castries;Saint Lucia;81;TOR;Toronto;Raptors;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png
13754;Tony;Bradley;13;C;"6'10"";248;1998-01-06;Bartow, FL;USA;98;UTA;Utah;Jazz;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628396.png
9097;Avery;Bradley;22;SG;"6'2"";180;1990-11-23;Tacoma, WA;USA;107;MEM;Memphis;Grizzlies;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202340.png
9240;Corey;Brewer;3;SF;"6'9"";186;1986-03-02;Portland, TN;USA;103;SAC;Sacramento;Kings;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201147.png
15207;Mikal;Bridges;25;SF;"6'7"";209;1996-08-29;Philadelphia, PA;USA;104;PHX;Phoenix;Suns;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628969.png
15209;Miles;Bridges;0;SF;"6'7"";225;1998-03-21;Flint, MI;USA;93;CHA;Charlotte;Hornets;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628970.png
13842;Isaiah;Briscoe;9;G;"6'3"";224;1996-04-13;Newark, NJ;USA;95;ORL;Orlando;Magic;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628515.png
15314;Ryan;Broekhoff;45;SG;"6'7"";215;1990-08-23;Melbourne;Australia;108;DAL;Dallas;Mavericks;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629151.png
10127;Malcolm;Brogdon;13;SG;"6'5"";215;1992-12-11;Atlanta, GA;USA;90;MIL;Milwaukee;Bucks;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627763.png
9154;Aaron;Brooks;30;PG;"6'0"";161;1985-01-14;Seattle, WA;USA;100;MIN;Minnesota;Timberwolves;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201166.png
13786;Dillon;Brooks;24;SF;"6'6"";220;1996-01-22;Mississauga;Canada;107;MEM;Memphis;Grizzlies;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628415.png
9216;Lorenzo;Brown;17;PG;"6'5"";189;1990-08-24;Roswell, GA;USA;81;TOR;Toronto;Raptors;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203485.png
9289;Anthony;Brown;21;SF;"6'7"";224;1992-10-08;Bellflower, CA;USA;100;MIN;Minnesota;Timberwolves;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626148.png
10090;Jaylen;Brown;7;SG;"6'7"";225;1996-10-23;Marietta, GA;USA;82;BOS;Boston;Celtics;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png
